tweet_id,author_name,author_handle,text,timestamp,likes,retweets,replies,image_url,tweet_link
,Boxofficesutra,@BoxofficeSutra,@FibeIndia  Hi I need urgent resolution..Pls DM me..,2024-10-16T06:47:18.000Z,0,0,2,,https://x.com/BoxofficeSutra/status/1846460726937895155
,Boxofficesutra,@BoxofficeSutra,I have Dm'ed..Please look into it..,2024-10-16T07:58:37.000Z,0,0,1,,https://x.com/BoxofficeSutra/status/1846460726937895155
,Niharika Gupta,@imniharikagupta,"Hello  @fibe   @FibeIndia  
This is Niharika Loan id-1433640592. I'm currently jobless and have informed your team through your official email. I assured you that I'm relentlessly searching for a job and will start paying my EMIs as soon as I'm employed.",2024-09-30T05:42:36.000Z,0,0,3,https://pbs.twimg.com/media/GYs5qsbbIAApH-m?format=jpg&name=small,https://x.com/imniharikagupta/status/1840628289758499001
,Sunil Verma,@SunilVe10793454,"@FibeIndia   Your agent are abusing me.

Agent details in screenshot 
Fibe team immediate action 

FYI  @RBI 

My loan account number : LAI1005689047

 #kkv 
 #kunalarmy",2024-10-16T05:30:18.000Z,2,1,2,https://pbs.twimg.com/media/GZ_QSdhXoAA4cPV?format=jpg&name=large,https://x.com/SunilVe10793454/status/1846423400350167447
,Premium,@premium,"Great content shouldn't pause.

Subscribe to Premium to keep videos playing after locking your phone.",,0,218,0,,https://x.com/SunilVe10793454/status/1846423400350167447
,Sanjeev Pandey,@Sanjeev39462430,"Again your collection agency is doing misbehave 
 @RBI   @jagograhakjago   @jagograhakjago",2024-09-27T09:10:32.000Z,0,0,1,https://pbs.twimg.com/media/GYeMeqaaMAAt0nX?format=jpg&name=900x900,https://x.com/Sanjeev39462430/status/1840263365328859558
,Sanjeev Pandey,@Sanjeev39462430,Your recovery agency is calling on Sunday. Who is given right to call on Sunday  @FibeIndia   @jagograhakjago   @jagograhakjago   @CNBC_Awaaz   @ETMarkets   @et_cfo,2024-09-29T05:32:31.000Z,0,1,1,,https://x.com/Sanjeev39462430/status/1840263365328859558
,Value Research,@ValueResearch,"Become a master investor today! 

  Expert Fund Recommendations 
  In-depth Portfolio Analysis 
  Manage up to 6 Family Accounts

Join now -  https:// bit.ly/3Y4k1Zr ?twclid=2-5q6eojv1v2pi0sfnl0k2yrhf3",,128,9,4,,https://x.com/Sanjeev39462430/status/1840263365328859558
,MS,@Mansi_dbookworm,@FibeIndia  you people accessed the data from my phone illegally and without my permission. Fraud company. Harassment karne mein you people are number 1. I will go to consumer court. Do you realise how stressful it is for a heart patient?,2024-10-07T06:36:53.000Z,0,0,1,https://pbs.twimg.com/media/GZRJN2NbQAAOrlR?format=jpg&name=small,https://x.com/Mansi_dbookworm/status/1843178668543365464
,Aditya Satpute,@satpute22851,"@FibeIndia   @RBIsays  
I Aditya Satpute your recovery agent is threatening me and using abusive language also not telling his name I have also asked for the office address which is not provided by them kindly look into this also attaching your recovery agent number",2024-10-08T05:13:04.000Z,0,0,2,https://pbs.twimg.com/media/GZV_ooWasAEfYO8?format=jpg&name=medium,https://x.com/satpute22851/status/1843519961412825269
,Chetan singh,@Chetans27186404,chor party hai,2024-10-15T12:56:13.000Z,0,0,1,,https://x.com/Chetans27186404/status/1846173230379241821
,Chetan singh,@Chetans27186404,letter letter letter final letter then i will pay . either closed loan from your app . why effect my cibil .,2024-10-16T10:37:21.000Z,0,0,0,,https://x.com/Chetans27186404/status/1846173230379241821
,Pintu kumar pal,@pintukumarpal2,"@FibeIndia  Hey, I paid your EMI but in your app, showing its failed but from my account is debited successfully.

Please help for resolving this issue on urgent basis 

Regards",2024-10-02T05:37:15.000Z,0,0,6,,https://x.com/pintukumarpal2/status/1841351718551863364
,Amit Jha,@PanditAmit1991,@FibeIndia  when you will stop harrasing me and my family.,2024-09-26T07:37:09.000Z,0,1,2,https://pbs.twimg.com/media/GYYsdshXgAAySmp?format=jpg&name=small,https://x.com/PanditAmit1991/status/1839207567630938158
,Fayaz Ahmed,@FayazAhmed178,"@RBI   @RBIsays   @FinMinIndia  
Dear RBI please take action on this illegal activity fibe nbfc
Thank you",2024-09-27T06:07:22.000Z,0,0,1,,https://x.com/PanditAmit1991/status/1839207567630938158
,Amit Jha,@PanditAmit1991,"@FibeIndia  I have shared the call recording of your agent where he is claiming he will call all my friends and family and threatning
 @Cyberdost   @cccinoida  this NBFC hack my contact details and calling on my friends and family. Attaching the proof for your reference. @noidapolice",2024-10-11T08:11:51.000Z,0,0,1,https://pbs.twimg.com/media/GZmFU2faAAEevJ7?format=jpg&name=900x900,https://x.com/PanditAmit1991/status/1839207567630938158
,Chetan singh,@Chetans27186404,distrod cibil no cal no massage bad man,2024-10-15T12:55:47.000Z,0,0,1,,https://x.com/Chetans27186404/status/1846173124707926175
,Qatar Airways,@qatarairways,"The stage is yours… Lights, camera, action",,0,127,51,,https://x.com/Chetans27186404/status/1846173124707926175
,Qatar Airways,@qatarairways,"The stage is yours… Lights, camera, action",,0,127,51,,https://x.com/Chetans27186404/status/1846173124707926175
,Qatar Airways,@qatarairways,"The stage is yours… Lights, camera, action",,0,127,51,,https://x.com/Chetans27186404/status/1846173124707926175
,Pratik Kumar Chouhan,@PKC_Pratik,"@FibeIndia  Your recovery agent harassed my father, exaggerated my loan amount, and used rude behavior during recovery calls. This is in clear violation of RBI guidelines. Kindly take immediate action to resolve this issue.  #CustomerRights   #RBIGuidelines   #Harassment",2024-10-15T09:49:14.000Z,1,0,2,,https://x.com/Syedimt49390252/status/1846392056715137075
,Syed imtiyaz,@Syedimt49390252,This people are encouraging to authorised agency to follow same kind of practises don't pay single rupee to them,2024-10-16T03:25:45.000Z,0,0,1,,https://x.com/Syedimt49390252/status/1846392056715137075
,Syed imtiyaz,@Syedimt49390252,"Could you please check my recent email , if your authorisation agency is not talk in polite way not going to pay single rupee",2024-10-16T10:53:55.000Z,0,0,1,,https://x.com/Syedimt49390252/status/1846392056715137075
,Zoho,@Zoho,"Meet Zoho Workplace—a unified email and collaboration suite that elevates your team productivity and eliminates confusion.

  Centralized tasks and communication in one place
  99.9% uptime
  Safe and secure workspace",,191,6,4,,https://x.com/Syedimt49390252/status/1846392056715137075
,Aryan Sinha,@ar62383130,@FibeIndia  dost Aisa hai aap notice bhejne se achha h fir krke jail hi bhej do jindagi to aise hi barbad chal rahi .Maine apko already concern share kar diya hai mai pay nahi kar paunga av kuchh mahino tak .notice se achha kuchh final result hi declare kar do,2024-10-07T14:20:42.000Z,0,0,2,https://pbs.twimg.com/media/GZSzYcmaAAAlpOu?format=jpg&name=900x900,https://x.com/Syedimt49390252/status/1843883567727948194
,Syed imtiyaz,@Syedimt49390252,Don't worry nothing is going to happen if they will file a case trust me they are not following rbi guidelines so court will take a action on this company not on you even default is not a crime,2024-10-09T05:17:54.000Z,1,0,2,,https://x.com/Syedimt49390252/status/1843883567727948194
,Syed imtiyaz,@Syedimt49390252,You guys are thinking they are following and they are following own terms and conditions not rbi rules,2024-10-09T05:45:52.000Z,1,0,1,,https://x.com/Syedimt49390252/status/1843883567727948194
,Aryan Sinha,@ar62383130,"I can understand but these guys only shares automatic messages they never try to understand peoples's concern,and I am fade up because of this.",2024-10-09T08:13:23.000Z,0,0,0,,https://x.com/Syedimt49390252/status/1843883567727948194
,Sanket Yelve,@SanketYelv94899,"I have a loan with  @FibeIndia  and i told them to pay On 20 on my salary date but  @FibeIndia  employee calling my family and relatives and blackmailing them they are threatening them. My relatives are so scared & they are innocent in this case.
 @CPMumbaiPolice 
 @PuneCityPolice",2024-10-15T06:30:45.000Z,0,2,1,https://pbs.twimg.com/media/GZ6UiuAXgAAfQo2?format=jpg&name=large,https://x.com/SanketYelv94899/status/1846076228307923311
,Chetan singh,@Chetans27186404,distroyed cibil and no any mail no call,2024-10-15T12:54:45.000Z,0,0,1,,https://x.com/Chetans27186404/status/1846172861318250906
,Yo yo,@Yoyo37023843638,Close the loan now  @RBI,2024-10-14T10:39:08.000Z,0,0,1,https://pbs.twimg.com/media/GZ2DzPdaYAABEzD?format=jpg&name=medium,https://x.com/Yoyo37023843638/status/1845776347840311601
,Harshita Jain,@advHarshita123,"@FibeIndia  
I've been dealing with relentless harassment & non-stop calls and repetitive calls +918037217171 from recovery agents lately. It's unbelievable how far they go to meet their targets. It needs to stop!  #Harassment   #DebtRecovery   #UnfairPressure",2024-10-05T10:40:58.000Z,0,0,1,,https://x.com/advHarshita123/status/1842515319027278238
,Kranthi Kumar K,@Kranthi15063168,@FibeIndia  please check dm penalty and bounce charges still showing,2024-10-01T10:23:05.000Z,0,0,1,,https://x.com/Kranthi15063168/status/1841061265026007353
,VISHAL MISHRA,@VishalMishra97,"@FibeIndia  your agent is calling and threatening me to do the payment or he will call to my contact, are your people trying to harass the customer and force him to do something wrong with themselves 
 @RBI  when will you going to take action against these people 
 @DFS_India   @aajtak",2024-10-08T12:23:46.000Z,1,10,7,,https://x.com/AshutoshTh56510/status/1843628608318800076
,Ashutosh Thakur,@AshutoshTh56510,Wrong,2024-10-08T12:24:47.000Z,1,1,1,,https://x.com/AshutoshTh56510/status/1843628608318800076
,Nafisa Khan,@Nafisa_khan3015,I am trying to pay my loan and settle my debts in small installments this recovery agent Sumit came in my house inspite of being notified about the preferred location and threatening me by saying if I don’t pay he will spoil my reputation.  @FibeIndia,2024-10-10T05:18:04.000Z,0,0,2,,https://x.com/Nafisa_khan3015/status/1844245994722214188
,Syed imtiyaz,@Syedimt49390252,This people are encouraging to authorised agency to follow same kind of practises don't pay single rupee to them,2024-10-16T03:25:45.000Z,0,0,1,,https://x.com/Syedimt49390252/status/1846504842790912478
,Syed imtiyaz,@Syedimt49390252,"Could you please check my recent email , if your authorisation agency is not talk in polite way not going to pay single rupee",2024-10-16T10:53:55.000Z,0,0,1,,https://x.com/Syedimt49390252/status/1846504842790912478
,Clerk,@ClerkDev,"Clerk's Organizations provide scalable user access management. 

Use RBAC to boost developer velocity and streamline role management of your application.",,0,286,87,,https://x.com/Syedimt49390252/status/1846504842790912478
,Pratik Kumar Chouhan,@PKC_Pratik,"@FibeIndia  Your recovery agent harassed my father, exaggerated my loan amount, and used rude behavior during recovery calls. This is in clear violation of RBI guidelines. Kindly take immediate action to resolve this issue.  #CustomerRights   #RBIGuidelines   #Harassment",2024-10-15T09:49:14.000Z,1,0,2,,https://x.com/Syedimt49390252/status/1846504842790912478
,Amit Tewari,@godISaDJ28,My limit is blocked ..kindly tell your backend team to reconsider the case,2024-10-18T15:05:00.000Z,0,0,1,,https://x.com/godISaDJ28/status/1847292806836162869
,Abhinav Tiwari,@iabhinavtiwari,"@FibeIndia  I filed a complaint with your customer service regarding the abusive behavior of a recovery agent. However, no action has been taken, and I have received no updates. This lack of professionalism is disappointing.",2024-10-17T07:25:14.000Z,0,0,2,,https://x.com/ShaktiMehr91409/status/1847155152681078992
,Shakti Mehrotra,@ShaktiMehr91409,I took loan from fibe  due to some medical emergency and lost my job i am not able to pay emi and informed them over mail that i'll pay emi after one month once i get the job . i never denny even after informed over mail ...their recovery team calling my relative  @FinMinIndia,2024-10-18T05:58:01.000Z,0,0,2,https://pbs.twimg.com/media/GaJpZvZW8AAIvrf?format=jpg&name=small,https://x.com/ShaktiMehr91409/status/1847155152681078992
,Amit Jha,@PanditAmit1991,"I just want to know how can you hack my contact details.
 @Cyberdost   @FinMinIndia   @nsitharamanoffc   @RBI   @RBIsays   @nsitharaman",2024-10-11T09:15:01.000Z,0,0,1,,https://x.com/PanditAmit1991/status/1845725755994411012
,Amit Jha,@PanditAmit1991,"@FibeIndia  again I have received 1 threaten call from your agent Sonam. When you will be stop harrasing me and my family and friends.
  @Cyberdost   @cccinoida   @RBIsays   @RBI   @FinMinIndia   @nsitharamanoffc   @nsitharaman   @ConsumerVoiceIn   @Consumer2Court",2024-10-14T07:18:06.000Z,1,1,1,https://pbs.twimg.com/media/GZ1VyGEaMAAOEF3?format=jpg&name=medium,https://x.com/PanditAmit1991/status/1845725755994411012
,Amit Jha,@PanditAmit1991,"@FibeIndia  I have shared the call recording of your agent where he is claiming he will call all my friends and family and threatning
 @Cyberdost   @cccinoida  this NBFC hack my contact details and calling on my friends and family. Attaching the proof for your reference. @noidapolice",2024-10-11T08:11:51.000Z,0,0,1,https://pbs.twimg.com/media/GZmFU2faAAEevJ7?format=jpg&name=900x900,https://x.com/PanditAmit1991/status/1845725755994411012
,Amit Jha,@PanditAmit1991,"@FibeIndia  i have already mailed you multiple time I dont have single penny but still you didn't stop harrassing me and my family and my friends.
You hacked my contact details and now calling them and threatning them.
 @FinMinIndia  kindly help me Mam against this nbfc
 @ZeeNews",2024-10-11T08:18:21.000Z,0,0,1,,https://x.com/PanditAmit1991/status/1845725755994411012
,Amit Jha,@PanditAmit1991,"I have never shared any of my friends mumber as a reference but still NBFC hacked my contact details and calling my friends and family. @RBI   @RBIsays   @nsitharamanoffc  Mam please help me against this NBFC.
I am ready to pay their EMI but after Mar'25 on mthly emi of 5k",2024-10-11T08:24:20.000Z,0,0,1,,https://x.com/PanditAmit1991/status/1845725755994411012
,Nandini Agarwal,@advocate725,"I have already sent my number, still no call. The agent Sumit Patwa 098201 52054 has again threatened to come to my house and call my landlord. He said he will destroy my reputation and ask my landlord to evict me. This is against RBI guidelines. @RBI   @FibeIndia  Please take action",2024-10-10T04:26:36.000Z,0,0,1,,https://x.com/advocate725/status/1844233042623397999
,.,@Akhil57701870,""" @FibeIndia  I cancelled my admission, but auto-pay for my loan is still active despite multiple requests to stop it.This issue remains unresolved,and it's causing unnecessary financial strain. Please resolve this ASAP!    #FibeIndia   #AutoPayIssue   #LoanSupport   #CustomerService """,2024-10-16T11:30:24.000Z,2,0,2,https://pbs.twimg.com/media/GaAiuAKWkAA7tSr?format=jpg&name=small,https://x.com/Akhil57701870/status/1846514023593873667
,.,@Akhil57701870,@AmityUni,2024-10-17T09:30:39.000Z,0,0,0,,https://x.com/Akhil57701870/status/1846514023593873667
,Aasiya Sarguru,@aasiya_sarguru,@FibeIndia  please review the charges levied to my loan account. I request a reversal of these fees so I can settle my dues at the earliest. Prompt resolution will help maintain a smooth repayment process.  #CustomerService   #LoanCharges   #Harresment,2024-10-07T06:39:36.000Z,0,0,1,,https://x.com/aasiya_sarguru/status/1843179352789487638
,Trendlyne,@Trendlyne,"India, which has been pitching itself as a 'China+1' destination, may be hitting some speed bumps. Is growth slowing down after the post-pandemic boom, or will it bounce back? Swapnil Karkare takes a closer look:

 http:// trendlyne.com/posts/4812088/ is-india-s-growth-engine-sowing-down-screener-upcoming-results-of-profit-growth-stocks?twclid=22psdiem89bfb7qc9cssfjtfvm …",,7,0,1,,https://x.com/aasiya_sarguru/status/1843179352789487638
,Ashu Jaiawal,@AshuJaiawal,"@FibeIndia  My Customer Id is- 1423590620
And am Unable to withdraw my Pre Approved Limits Request you to kindly enable the same on priority basis",2024-10-18T02:57:15.000Z,0,0,1,,https://x.com/AshuJaiawal/status/1847109662040060297
,Fayaz Ahmed,@FayazAhmed178,"@FibeIndia   @RBI   @RBIsays   @FinMinIndia   @Sohanbhai111  
Dear fibe 
 Fayaz ahmed 
Loan id 1444396833
I have one loan from fibe ru authorised to agent abusing again and again take action on this person please stop this illegal activity please RBI take action this nbfc",2024-09-27T08:28:43.000Z,12,32,5,https://pbs.twimg.com/media/GYeC7BmbsAAKax2?format=jpg&name=small,https://x.com/FayazAhmed178/status/1839582933188751662
,Mohaan MKC,@MohaanMKC,"Stop harrasement and illigal  activity, agent and agrncy need to punish and terminate",2024-09-28T11:25:58.000Z,0,0,1,,https://x.com/FayazAhmed178/status/1839582933188751662
,manoj singh,@manojsi34428213,Take action for this type Illegal activity,2024-09-27T11:03:42.000Z,0,0,1,,https://x.com/FayazAhmed178/status/1839582933188751662
,Ramesh Sunchu,@Ramesh251988,@RBI  please intervene,2024-09-27T09:21:28.000Z,1,1,1,,https://x.com/FayazAhmed178/status/1839582933188751662
,Dilip karsala,@DilipKarsa49044,Take intervene,2024-09-27T12:17:56.000Z,0,0,1,,https://x.com/FayazAhmed178/status/1839582933188751662
,VISHAL MISHRA,@VishalMishra97,"@FibeIndia  your agent is calling and threatening me to do the payment or he will call to my contact, are your people trying to harass the customer and force him to do something wrong with themselves 
 @RBI  when will you going to take action against these people 
 @DFS_India   @aajtak",2024-10-08T12:23:46.000Z,1,10,7,https://pbs.twimg.com/media/GZXiNhdasAItBEF?format=jpg&name=large,https://x.com/VishalMishra97/status/1843628351241756708
,Raman Kumar,@RamanKumar61872,Ban karo agency ko,2024-10-08T12:25:44.000Z,0,0,1,,https://x.com/VishalMishra97/status/1843628351241756708
,Dhiraj Kotak,@KotakDhira71520,fibe is frod company,2024-10-08T12:25:02.000Z,0,0,1,,https://x.com/VishalMishra97/status/1843628351241756708
,Kamal Pawar,@KamalPawar93376,RBI LOOK IT THIS,2024-10-08T12:24:38.000Z,0,1,1,,https://x.com/VishalMishra97/status/1843628351241756708
,Syed imtiyaz,@Syedimt49390252,Don't pay the single rupee to them they all are behave like labourers,2024-10-09T05:14:42.000Z,0,0,0,,https://x.com/VishalMishra97/status/1843628351241756708
,Ruchika,@Ruchika63116033,"If their agents threaten you, don’t be afraid to stand up to them. They pressured me so much that I had to sell my mother’s jewelry to pay off the loan. My EMI was just a week late, and they made me feel like ending my life. This is how much stress they caused me.",2024-10-09T06:47:40.000Z,0,0,0,,https://x.com/VishalMishra97/status/1843628351241756708
,Aman,@amannimbhoria,"@jagograhakjago   @RBI   @SCJudgments  

I have sent you dm with details and i will see what solution i will get or i will be putting everything that happened on social every where",2024-10-19T06:48:00.000Z,0,0,2,,https://x.com/amannimbhoria/status/1847530120984059944
,Aman,@amannimbhoria,"No resolution has been given yet, i have received many calls again but i will not answer them i know they will threaten me again, i need som official answer here",2024-10-19T08:30:51.000Z,0,0,0,,https://x.com/amannimbhoria/status/1847530120984059944
,Aman,@amannimbhoria,"@FibeIndia   @jagograhakjago   @RBI  
I took a loan from your app and due to job switch i wasn't able to pay the emi cz my notice money about to arrive.",2024-10-19T06:34:30.000Z,0,0,1,,https://x.com/amannimbhoria/status/1847530120984059944
,Aman,@amannimbhoria,"There's a guy from came to my home telling my father confidential things and told him that i haven't paid it since 2 months which is a lie and taking to me unprofessionally!!! is it acceptable???

 @FibeIndia   @jagograhakjago   @RBI",2024-10-19T06:34:31.000Z,0,0,2,,https://x.com/amannimbhoria/status/1847530120984059944
,Sumith Ohal,@Cryptosumi24270,"I have taken loan from  @FibeIndia   but currently I'm going through financial crises,im in depression due to  alot of debts so I can't repay loan for 2months.I want to postpone my emi due date.  @RBI   @MLJ_GoI   @PMOIndia   plz help me out with it",2024-10-17T08:32:23.000Z,0,0,2,,https://x.com/Cryptosumi24270/status/1846831613319303554
,Sumith Ohal,@Cryptosumi24270,@NCWIndia  @mscw_Bandra,2024-10-17T08:51:36.000Z,0,0,0,,https://x.com/Cryptosumi24270/status/1846831613319303554
,shiksha jha,@shiksha_jh5714,Okay so you mean to say that I have to listen their slang language right. There is so much difference between follow-up calls and slang calls don't expect me to receive this slang calls,2024-10-07T08:41:54.000Z,0,0,6,,https://x.com/Ruchika63116033/status/1843743139267530988
,Ruchika,@Ruchika63116033,"I hope this online Loan business model fails soon because too many people are being mentally harassed after falling into their instant loan traps. I almost became suicidal because of them, but thankfully, a friend helped me in time.",2024-10-08T19:59:54.000Z,0,0,1,,https://x.com/Ruchika63116033/status/1843743139267530988
,shiksha jha,@shiksha_jh5714,Again getting non stop calls ..I will share the recordings on mail and put cc RBI. PLS ASK THEM TO STOP DOING NON STOP CALLS now . Daily daily harassment mil rha h,2024-10-05T11:07:14.000Z,0,0,1,https://pbs.twimg.com/media/GZHz7bMXYAESaMH?format=jpg&name=small,https://x.com/Ruchika63116033/status/1843743139267530988
,Shubham Gupta,@iamceoshubham,"@FibeIndia  Please don't harass me by calling so much , Currently I have medical emergency I will pay by December",2024-10-18T12:21:35.000Z,0,0,1,,https://x.com/iamceoshubham/status/1847251680192020937
,,@him_moni,"@FibeIndia   @RBIsays   @RBI  Your team is harassing me and abusing me and calling my family and relatives due to which I am feeling very humiliated. If I do not get a solution soon, I will commit suicide.
Case id-  1446916972",2024-09-30T16:51:19.000Z,0,0,1,https://pbs.twimg.com/media/GYvSuY3bQAEJFUg?format=jpg&name=small,https://x.com/him_moni_21/status/1840796577314611326
,NAVEEN SINGH,@honeynaveen70,"Fibe loan recovery agent abused me after negotiating of settlement I request fibe that seriously follow them
 #fibe   #rbi",2024-10-14T05:02:10.000Z,0,0,1,,https://x.com/honeynaveen70/status/1845691545820725755
,Pradeep Sharma,@pradeep87585,@FibeIndia  I have already told that I will pay on 20 th Oct why r u abusing my family and calling them for suicide,2024-10-11T07:39:50.000Z,1,0,1,,https://x.com/pradeep87585/status/1844644061321310210
,Pradeep Sharma,@pradeep87585,What type of investigation i need his dead body wait I am sending you,2024-10-11T09:10:25.000Z,0,0,1,,https://x.com/pradeep87585/status/1844644061321310210
,Aryan Sinha,@ar62383130,"Respected  @narendramodi   @PMOIndia   @nsitharaman   @nsitharamanoffc   @DasShaktikanta   @RBI   @rashtrapatibhvn 
 @FibeIndia   @HomeCredit_In",2024-09-29T10:59:05.000Z,1,0,7,,https://x.com/ar62383130/status/1840345549628723324
,Aryan Sinha,@ar62383130,@HomeCredit_In  av morning me call receive Hui apke executive navneet se 51000 mang rahe settlement k liye jo mere liye sambhaw nahi hai maine bola ki mujhe atleast 1-2 month ka time chahiye taki me salary me se thoda manage krke de pau par itna nahi de paunga,2024-10-04T04:00:36.000Z,0,0,0,,https://x.com/ar62383130/status/1840345549628723324
,Home Credit India,@HomeCredit_In,"Hi Aryan, we sincerely apologize for any inconvenience caused. Kindly respond with your Contract ID (if any) and Contact Number in private message so that we can assist you accordingly. Thank you.",2024-09-30T04:25:33.000Z,0,0,2,,https://x.com/ar62383130/status/1840345549628723324
,Aryan Sinha,@ar62383130,I have shared the email to you .,2024-10-01T15:29:16.000Z,0,0,0,,https://x.com/ar62383130/status/1840345549628723324
,Aryan Sinha,@ar62383130,@HomeCredit_In  200000 me se 190000 pay kar diya h Maine apko Mai settlement k liye maximum 10 to 15 k de skta hu kyuki mujhe pta h meri situation kya chal rhi or ye amount v November last salary me or kuchh mang k de paunga par apke executive me interest ka hawala dete hue na kar,2024-10-04T04:02:32.000Z,0,0,0,,https://x.com/ar62383130/status/1840345549628723324
,Aryan Sinha,@ar62383130,@HomeCredit_In  your executive navneet said nhi ho payega itne me or itna time nhi de skte settlement k liye bus 7 din baki apka interest or charges or badhate jayenge maine bola unhe ki jo 3rd party harrasment karwa rahe hai aaplog kya usse lgta h Paisa aa jayga jo h nhi,2024-10-04T04:04:16.000Z,0,0,0,,https://x.com/ar62383130/status/1840345549628723324
,Aryan Sinha,@ar62383130,@HomeCredit_In  he said itna me nhi hoga apka interest or charges badhta jayga to fir sir 1 kaam kro jitna badhana hai badhao or Maine apna no. De diya h apko call usi me aani chahiye agar mere contact list me call gya to mai hi nhi rhunga fir aap mare hue admi ke no Pe cal krna,2024-10-04T04:06:06.000Z,0,0,0,,https://x.com/ar62383130/status/1840345549628723324
,Aryan Sinha,@ar62383130,"Which kind of proof you want ,on a daily basis getting lots of calls , can't you believe I am really losing my hope and patience , I am not a thief or fraud i am the existing customer of you and paid emi's on time few months back because of my job change its impacted on my salary",2024-10-01T15:31:37.000Z,0,0,1,,https://x.com/ar62383130/status/1840345549628723324
,शिक्षा जगत समाचार,@Education8Bihar,"माननीय  @indSupremeCourt  इस युवा की व्यथा सुनिए,कैसे  @HomeCredit_In  ने इसको टॉर्चर किया कि ये जिंदगी को खत्म करने की सोच रहा है।  @RBIsays  संज्ञान लेते हुए  @HomeCredit_In  को ब्लैकलिस्टेड करे।",2024-10-03T15:54:46.000Z,1,0,1,,https://x.com/ar62383130/status/1840345549628723324
,Aryan Sinha,@ar62383130,Sir koi ni sunenge I think ye bahot badda mudda thodi hai samaj ke liye dharti pe se 1-2 kam ho jaye kya fark padta h kisi ko hum general middle class Wale logo me se,2024-10-04T04:08:13.000Z,0,0,1,,https://x.com/ar62383130/status/1840345549628723324
,Vishal K Verma,@wishall2050,"I've taken around 13 Lakhs loan from HDFC,Indian Bank,Bajaj,Prefr,FIbe, and 2 credit card bills.
Currently I'm not able to pay, please help me. I want to live,give me time.PAN-AWCPK7739E  @KotakBankLtd   @udaykotak   @Bajaj_Finserv   @nsitharaman   @PMOIndia   @HDFC_Bank",2024-09-28T10:58:12.000Z,0,1,4,https://pbs.twimg.com/media/GYjurmpWUAAb0GP?format=jpg&name=medium,https://x.com/wishall2050/status/1839982939632800157
